Date,Video Folder,Video #,Trial,Tank,Group,activity_numchases,activity_timechases,novel_numchases,novel_timechases,food_numchases,food_timechases,pred_numchases,pred_timechases,,,,,
8/16/17,RH2 81617,1,1,4,4K,14,54898,2,728,2,3358,1,203,,,,,also--right around 8:42 there is a great fight
8/18/17,RH2,1,2,4,4K,0,0,2,2495,1,1714,0,0,,,,,
8/20/17,RH2,1,3,4,4K,17,46658,10,26384,3,4759,4,6789,,,,,
9/29/17,RH5,1,1,9,4K_2,0,0,31,81788,6,11848,0,0,,,,,
8/16/17,RH5 81617,1,1,9,4L,24,123398,30,175668,15,68221,28,159089,,,,,
8/18/17,RH5,1,2,9,4L,23,201163,23,104585,13,124455,17,85136,,,,,
9/29/17,RH5,1,1,10,4L_2,1,927,0,0,2,2970,1,735,,,,,
8/16/17,RH2 81617,2,1,3,4M,0,0,0,0,0,0,0,0,,,,,
9/29/17,RH2,2,1,3,4M_2,0,0,12,37170,2,2630,0,0,,,,,
10/1/17,RH2,2,2,3,4M_2,1,863,18,43848,8,36251,4,3021,,,,,
10/3/17,RH2,1,3,3,4M_2,0,0,0,0,4,5298,0,0,,,,,
8/16/17,RH2 81617,2,1,4,4N,2,1201,28,131649,11,55142,19,70521,,,,,
8/18/17,RH2,2,2,4,4N,21,70590,25,60969,19,34909,5,11380,,,,,
8/20/17,RH2,2,3,4,4N,2,4999,2,1478,0,0,1,4911,,,,,
8/16/17,RH5 81617,2,1,9,4O,1,303,1,1838,0,0,0,0,,,,,
9/29/17,RH2,2,1,4,4O_2,3,2085,21,35674,7,11899,6,5997,,,,,
10/1/17,RH2,2,2,4,4O_2,5,4101,34,59755,24,20179,8,7064,,,,,
10/3/17,RH2,1,3,4,4O_2,3,1710,34,36600,38,78328,0,0,,,,,
8/16/17,RH5 81617,2,1,10,4P,0,0,0,0,1,893,0,0,,,,,
9/29/17,RH5,2,1,9,4P_2,0,0,14,23972,11,32608,1,2348,,,,,
10/1/17,RH5,1,2,9,4P_2,4,6339,7,16084,14,38164,14,18642,,,,,
10/3/17,RH5,"1,2",3,9,4P_2,0,0,2,837,8,16448,6,14344,,,,,
10/7/17,RH3,1,1,5,8A_3,2,2144,24,20009,7,4760,7,6192,,,,,
10/9/17,RH3,1,2,5,8A_3,3,1833,30,31646,15,21267,6,5101,,,,,
10/11/17,RH3,1,3,5,8A_3,18,16696,15,10999,30,58372,19,22639,,,,,
8/15/17,RH3 81517,1,1,5,8B,29,43072,38,51676,7,6192,38,27696,,,,,
9/28/17,RH3,1,1,6,8B_2,1,471,13,15189,0,0,4,1471,,,,,
10/7/17,RH3,1,1,6,8B_3,,,,,7,4655,0,0,,,,,
10/9/17,RH3,1,2,6,8B_3,0,0,21,13055,22,28922,3,2128,,,,,
10/11/17,RH3,1,3,6,8B_3,1,319,16,9436,23,17303,7,9401,,,,,
9/28/17,RH6,1,1,11,8C_2,31,69860,29,47540,5,4601,1,457,,,,,
10/7/17,RH6,1,1,11,8C_3,0,0,0,0,0,0,0,0,,,,,
10/9/17,RH6,1,2,11,8C_3,1,272,18,20710,1,923,1,5071,,,,,
10/11/17,RH6,1,3,11,8C_3,0,0,3,1879,2,5718,0,0,,,,,
